secid,symbol,date,exdate,cp_flag,strike_price,impl_volatility,mid_price,under_price
108105.0,SPT.VE,2008-09-19,2008-10-18,P,1125000.0,0.390053,9.7,1255.08
108105.0,SPT.VE,2008-09-22,2008-10-18,P,1125000.0,0.38667,15.95,1207.09
108105.0,SPT.VF,2008-09-16,2008-10-18,P,1130000.0,0.331265,14.35,1213.6
108105.0,SPT.VF,2008-09-17,2008-10-18,P,1130000.0,0.356884,33.4,1156.39
108105.0,SPT.VF,2008-09-18,2008-10-18,P,1130000.0,0.373176,18.9,1206.51
108105.0,SPT.VF,2008-09-19,2008-10-18,P,1130000.0,0.381875,9.9,1255.08
108105.0,SPT.VF,2008-09-22,2008-10-18,P,1130000.0,0.383064,16.9,1207.09
108105.0,SPT.VG,2008-09-17,2008-10-18,P,1135000.0,0.352394,35.0,1156.39
108105.0,SPT.VG,2008-09-18,2008-10-18,P,1135000.0,0.370223,20.0,1206.51
108105.0,SPT.VG,2008-09-19,2008-10-18,P,1135000.0,0.37864,10.5,1255.08
108105.0,SPT.VG,2008-09-22,2008-10-18,P,1135000.0,0.38046,18.0,1207.09
108105.0,SPT.VH,2008-09-16,2008-10-18,P,1140000.0,0.326802,16.4,1213.6
108105.0,SPT.VH,2008-09-17,2008-10-18,P,1140000.0,0.348885,36.8,1156.39
108105.0,SPT.VH,2008-09-18,2008-10-18,P,1140000.0,0.366756,21.1,1206.51
108105.0,SPT.VH,2008-09-19,2008-10-18,P,1140000.0,0.383416,11.8,1255.08
108105.0,SPT.VH,2008-09-22,2008-10-18,P,1140000.0,0.377251,19.1,1207.09
108105.0,SPT.VI,2008-09-16,2008-10-18,P,1145000.0,0.32443,17.5,1213.6
108105.0,SPT.VI,2008-09-17,2008-10-18,P,1145000.0,0.345531,38.7,1156.39
108105.0,SPT.VI,2008-09-18,2008-10-18,P,1145000.0,0.363682,22.3,1206.51
108105.0,SPT.VI,2008-09-19,2008-10-18,P,1145000.0,0.376202,12.15,1255.08
108105.0,SPT.VI,2008-09-22,2008-10-18,P,1145000.0,0.374436,20.3,1207.09
108105.0,SPT.VJ,2008-09-16,2008-10-18,P,1150000.0,0.322827,18.75,1213.6
108105.0,SPT.VJ,2008-09-17,2008-10-18,P,1150000.0,0.352775,42.05,1156.39
108105.0,SPT.VJ,2008-09-18,2008-10-18,P,1150000.0,0.360083,23.5,1206.51
108105.0,SPT.VJ,2008-09-19,2008-10-18,P,1150000.0,0.374982,13.05,1255.08
108105.0,SPT.VJ,2008-09-22,2008-10-18,P,1150000.0,0.368629,21.25,1207.09
108105.0,SPT.VK,2008-09-17,2008-10-18,P,1155000.0,0.339971,42.9,1156.39
108105.0,SPT.VK,2008-09-18,2008-10-18,P,1155000.0,0.349568,23.95,1206.51
108105.0,SPT.VK,2008-09-19,2008-10-18,P,1155000.0,0.373195,13.95,1255.08
108105.0,SPT.VK,2008-09-22,2008-10-18,P,1155000.0,0.367922,22.8,1207.09
108105.0,SPT.VL,2008-09-16,2008-10-18,P,1160000.0,0.316999,21.15,1213.6
108105.0,SPT.VL,2008-09-18,2008-10-18,P,1160000.0,0.353026,26.1,1206.51
108105.0,SPT.VL,2008-09-19,2008-10-18,P,1160000.0,0.364558,14.25,1255.08
108105.0,SPT.VL,2008-09-22,2008-10-18,P,1160000.0,0.364215,24.1,1207.09
108105.0,SPT.VM,2008-09-18,2008-10-18,P,1165000.0,0.351982,27.8,1206.51
108105.0,SPT.VM,2008-09-19,2008-10-18,P,1165000.0,0.360388,15.0,1255.08
108105.0,SPT.VM,2008-09-22,2008-10-18,P,1165000.0,0.361688,25.6,1207.09
108105.0,SPT.VN,2008-09-16,2008-10-18,P,1170000.0,0.312208,23.95,1213.6
108105.0,SPT.VN,2008-09-18,2008-10-18,P,1170000.0,0.346272,29.0,1206.51
108105.0,SPT.VN,2008-09-19,2008-10-18,P,1170000.0,0.356309,15.8,1255.08
108105.0,SPT.VN,2008-09-22,2008-10-18,P,1170000.0,0.358498,27.1,1207.09
108105.0,SPT.VO,2008-09-16,2008-10-18,P,1175000.0,0.312071,25.75,1213.6
108105.0,SPT.VO,2008-09-18,2008-10-18,P,1175000.0,0.345629,30.9,1206.51
108105.0,SPT.VO,2008-09-19,2008-10-18,P,1175000.0,0.360019,17.45,1255.08
108105.0,SPT.VO,2008-09-22,2008-10-18,P,1175000.0,0.355089,28.65,1207.09
108105.0,SPT.VP,2008-09-16,2008-10-18,P,1180000.0,0.306227,26.9,1213.6
108105.0,SPT.VP,2008-09-18,2008-10-18,P,1180000.0,0.34198,32.5,1206.51
