,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
61,108105.0,2017-06-26,SPX 170818C1980000,1,2017-08-18,,C,1980000.0,455.0,460.7,0.0,0.0,0.26439,0.980936,0.000169,37.76501,-16.27587,115843559.0,1.0,0,,
62,108105.0,2017-06-26,SPX 170818C1985000,1,2017-08-18,,C,1985000.0,450.3,456.2,0.0,0.0,0.271114,0.977603,0.000192,44.18808,-23.38135,116206394.0,1.0,0,,
63,108105.0,2017-06-26,SPX 170818C1990000,1,2017-08-18,,C,1990000.0,445.0,450.8,0.0,0.0,0.259647,0.980341,0.000177,38.92744,-16.84197,115843560.0,1.0,0,,
64,108105.0,2017-06-26,SPX 170818C1995000,1,2017-08-18,,C,1995000.0,440.4,446.3,0.0,0.0,0.267195,0.976565,0.000204,46.14256,-24.74712,116206395.0,1.0,0,,
65,108105.0,2017-06-26,SPX 170818C2000000,1,2017-08-18,2017-06-14,C,2000000.0,435.1,440.9,0.0,5009.0,0.256116,0.979301,0.000189,40.94466,-18.31341,115666518.0,1.0,0,,
66,108105.0,2017-06-26,SPX 170818C2005000,1,2017-08-18,,C,2005000.0,430.2,435.9,0.0,0.0,0.254305,0.97877,0.000195,41.96495,-19.0343,116206396.0,1.0,0,,
67,108105.0,2017-06-26,SPX 170818C2010000,1,2017-08-18,,C,2010000.0,425.2,431.0,0.0,0.0,0.252466,0.978231,0.000201,42.99425,-19.74611,115843561.0,1.0,0,,
68,108105.0,2017-06-26,SPX 170818C2015000,1,2017-08-18,,C,2015000.0,420.5,426.3,0.0,0.0,0.256037,0.975604,0.000221,47.93533,-24.81976,116206397.0,1.0,0,,
69,108105.0,2017-06-26,SPX 170818C2020000,1,2017-08-18,,C,2020000.0,415.3,421.1,0.0,0.0,0.248707,0.977131,0.000214,45.07951,-21.14052,115843562.0,1.0,0,,
70,108105.0,2017-06-26,SPX 170818C2025000,1,2017-08-18,2017-06-13,C,2025000.0,410.6,416.4,0.0,1.0,0.251988,0.974477,0.000234,50.01707,-26.12164,115666519.0,1.0,0,,
71,108105.0,2017-06-26,SPX 170818C2030000,1,2017-08-18,,C,2030000.0,405.6,411.4,0.0,0.0,0.248946,0.974312,0.000238,50.31874,-25.91755,115843563.0,1.0,0,,
72,108105.0,2017-06-26,SPX 170818C2035000,1,2017-08-18,,C,2035000.0,400.8,406.5,0.0,0.0,0.248809,0.972903,0.000251,52.8872,-28.21681,116206398.0,1.0,0,,
73,108105.0,2017-06-26,SPX 170818C2040000,1,2017-08-18,,C,2040000.0,395.8,401.5,0.0,0.0,0.245761,0.972718,0.000256,53.22222,-28.00663,115843564.0,1.0,0,,
74,108105.0,2017-06-26,SPX 170818C2045000,1,2017-08-18,,C,2045000.0,390.9,396.6,0.0,0.0,0.24456,0.971699,0.000266,55.05679,-29.43325,116206399.0,1.0,0,,
